activation,layers,width,mse,train_time_sec
tanh,5,8,0.009080616011216932,4.547401189804077
tanh,5,9,0.20668162434105775,5.003563642501831
tanh,5,10,0.0045617284916103645,5.1530139446258545
tanh,5,11,0.012392658805535391,5.477987051010132
tanh,5,12,0.010722950284713526,5.562463045120239
tanh,5,13,0.02278187850274619,5.580410957336426
tanh,5,14,0.007224399084874099,5.659990072250366
tanh,5,15,0.0052216991067177854,5.794156074523926
tanh,5,16,0.00489933907236617,5.721704959869385
tanh,5,17,0.003981492011220224,6.252213954925537
tanh,5,18,0.008170443686133204,6.407907724380493
tanh,5,19,0.00364257160630957,6.404191017150879
tanh,5,20,0.003076742020807014,6.444930076599121
tanh,5,21,0.002957140143644966,6.811061859130859
tanh,6,1,0.24503070182900477,3.2482409477233887
tanh,6,2,0.48548904642144397,4.087686777114868
tanh,6,3,0.9419389203398784,5.061869859695435
tanh,6,4,1.4229055868125822,4.667159080505371
tanh,6,5,0.12760833288390636,5.444911956787109
tanh,6,6,0.020779850322720936,5.096704959869385
tanh,6,7,0.28326716031106125,5.25412917137146
tanh,6,8,0.028061726580877258,5.339009046554565
tanh,6,9,0.06968366192609413,6.028889179229736
tanh,6,10,0.35666779585435127,6.2270238399505615
tanh,6,11,0.21237865696047092,6.38119101524353
tanh,6,12,0.011034103380683304,6.648122787475586
tanh,6,13,0.012637625067550697,6.6527252197265625
tanh,6,14,0.015317283469294025,6.755190134048462
tanh,6,15,0.005832646018367811,6.822511911392212
tanh,6,16,0.009868253783788812,6.6660401821136475
tanh,6,17,0.005225909984876856,7.4329142570495605
tanh,6,18,0.005933890953060619,7.51217794418335
tanh,6,19,0.005593446060923304,7.704438924789429
tanh,6,20,0.008899235963618161,7.8983848094940186
tanh,6,21,0.008051683253652967,8.024140119552612
tanh,7,1,0.24502500001278987,3.7696099281311035
tanh,7,2,1.128443548203268,4.690191030502319
tanh,7,3,1.8645275193017772,6.572031021118164
tanh,7,4,0.12766428882256065,5.430249929428101
tanh,7,5,0.18996751069110238,6.279529809951782
tanh,7,6,0.7750197485279897,5.8287999629974365
tanh,7,7,0.15546514024001484,6.146523952484131
tanh,7,8,0.05420269615878374,6.073982238769531
tanh,7,9,0.3197726481062825,7.101880073547363
tanh,7,10,0.026660583374510247,7.011168003082275
tanh,7,11,0.03496493392332501,7.389182806015015
tanh,7,12,0.017315269965382178,7.390851974487305
tanh,7,13,0.009741887260990607,7.752187967300415
tanh,7,14,0.005049915184621234,7.8595290184021
tanh,7,15,0.019353093685641084,7.947644233703613
tanh,7,16,0.0345912023485751,7.818676948547363
tanh,7,17,0.011960866065987622,8.860414266586304
