activation,layers,width,mse,mse_left,mse_right,train_time_sec
tanh,4,8,16.804375886917114,16.447654724121094,0.3567211627960205,4.005419015884399
tanh,4,9,16.777117282152176,16.5042781829834,0.27283909916877747,4.0326621532440186
tanh,4,10,50.741257667541504,13.014985084533691,37.72627258300781,4.211226940155029
tanh,4,11,16.149374529719353,16.046911239624023,0.10246329009532928,4.2597267627716064
tanh,4,12,16.498653303831816,16.471492767333984,0.027160536497831345,4.122396945953369
tanh,4,13,15.428668111562729,15.284241676330566,0.14442643523216248,4.238819122314453
tanh,4,14,16.51898580789566,16.003751754760742,0.5152340531349182,4.40480899810791
tanh,4,15,54.13263511657715,16.407007217407227,37.72562789916992,4.575992107391357
tanh,4,16,16.536903329193592,16.500144958496094,0.03675837069749832,4.2803261280059814
tanh,4,17,14.962160803377628,14.930005073547363,0.032155729830265045,4.427832126617432
tanh,4,18,15.026611436158419,15.005043983459473,0.021567452698946,4.454047918319702
tanh,4,19,15.857712280005217,15.832283973693848,0.025428306311368942,4.432435989379883
tanh,4,20,11.805061798542738,11.793381690979004,0.011680107563734055,4.368448972702026
tanh,5,1,29.251580238342285,16.5565128326416,12.695067405700684,4.611696004867554
tanh,5,2,44.51550483703613,16.83237075805664,27.683134078979492,4.5595481395721436
tanh,5,3,51.51876449584961,16.40972137451172,35.10904312133789,4.684653997421265
tanh,5,4,53.33670425415039,16.523880004882812,36.81282424926758,4.627629041671753
tanh,5,5,54.21021842956543,16.531396865844727,37.6788215637207,4.746737003326416
tanh,5,6,28.9790678024292,16.516769409179688,12.462298393249512,4.696863174438477
tanh,5,7,54.26961135864258,16.544876098632812,37.724735260009766,4.994877099990845
tanh,5,8,53.22041034698486,15.517983436584473,37.70242691040039,4.910786151885986
tanh,5,9,54.09372138977051,16.36797523498535,37.725746154785156,4.946393966674805
tanh,5,10,16.997341513633728,16.532224655151367,0.46511685848236084,4.8777759075164795
tanh,5,11,54.24361228942871,16.517759323120117,37.725852966308594,5.129279851913452
tanh,5,12,13.890525460243225,13.728360176086426,0.16216528415679932,4.994480133056641
tanh,5,13,14.355907559394836,13.883578300476074,0.4723292589187622,5.09808611869812
tanh,5,14,51.04513454437256,13.319392204284668,37.72574234008789,5.134498119354248
tanh,5,15,54.2205867767334,16.495874404907227,37.72471237182617,5.476258039474487
tanh,5,16,14.263030368834734,14.237116813659668,0.025913555175065994,5.1452531814575195
tanh,5,17,14.850011795759201,14.504678726196289,0.345333069562912,5.145533084869385
tanh,5,18,16.4832885756623,16.480823516845703,0.0024650588165968657,5.119886159896851
tanh,5,19,13.799650585278869,13.772488594055176,0.027161991223692894,5.194723129272461
tanh,5,20,13.109239149838686,13.107083320617676,0.002155829221010208,5.1143553256988525
tanh,6,1,34.77056312561035,16.55588150024414,18.21468162536621,5.269695043563843
tanh,6,2,43.3438777923584,16.556425094604492,26.787452697753906,5.271312952041626
tanh,6,3,49.15849494934082,15.703325271606445,33.455169677734375,5.424129962921143
tanh,6,4,54.04267692565918,16.543336868286133,37.49934005737305,5.330230951309204
tanh,6,5,54.22244644165039,16.539867401123047,37.682579040527344,5.367537021636963
tanh,6,6,54.26503372192383,16.540401458740234,37.724632263183594,5.4840099811553955
tanh,6,7,54.27651786804199,16.5512752532959,37.725242614746094,5.605874300003052
tanh,6,8,54.26644515991211,16.541210174560547,37.72523498535156,5.563846826553345
tanh,6,9,53.689066886901855,15.963648796081543,37.72541809082031,5.5999627113342285
tanh,6,10,54.269935607910156,16.54555892944336,37.7243766784668,5.744261980056763
tanh,6,11,16.861560225486755,16.524982452392578,0.33657777309417725,5.75244402885437
tanh,6,12,16.789787590503693,16.559114456176758,0.23067313432693481,5.671468019485474
tanh,6,13,16.629800207912922,16.541528701782227,0.08827150613069534,5.833348989486694
tanh,6,14,49.163716316223145,11.438488960266113,37.72522735595703,5.877731084823608
tanh,6,15,16.520493617164902,16.518930435180664,0.0015631819842383265,6.239264965057373
tanh,6,16,48.5922212600708,10.867005348205566,37.725215911865234,5.89573073387146
tanh,6,17,48.88761901855469,11.16214370727539,37.7254753112793,5.842126131057739
tanh,6,18,14.870814979076385,13.90945816040039,0.9613568186759949,6.1691577434539795
tanh,6,19,13.405367545317858,13.39853286743164,0.0068346778862178326,6.124218940734863
tanh,6,20,16.51810049416963,16.517518997192383,0.0005814969772472978,6.173766851425171
tanh,7,1,30.296672821044922,16.556663513183594,13.740009307861328,5.864031791687012
tanh,7,2,39.86901664733887,16.55084991455078,23.318166732788086,5.96847677230835
tanh,7,3,51.047786712646484,16.556251525878906,34.49153518676758,6.035793781280518
tanh,7,4,54.0506591796875,16.55382537841797,37.49683380126953,6.077850103378296
tanh,7,5,54.22711753845215,16.553438186645508,37.67367935180664,6.083806991577148
tanh,7,6,54.27838134765625,16.553455352783203,37.72492599487305,6.211061954498291
tanh,7,7,54.2724723815918,16.54726791381836,37.72520446777344,6.540894269943237
tanh,7,8,54.27596855163574,16.5509090423584,37.725059509277344,6.091887950897217
tanh,7,9,50.171424865722656,12.4476318359375,37.723793029785156,6.3159661293029785
tanh,7,10,50.622403144836426,12.897309303283691,37.725093841552734,6.404376983642578
tanh,7,11,51.93282508850098,14.207433700561523,37.72539138793945,6.76504921913147
tanh,7,12,10.664986073970795,10.3024263381958,0.3625597357749939,6.404349088668823
tanh,7,13,51.21592903137207,13.490564346313477,37.725364685058594,6.61931300163269
tanh,7,14,54.271677017211914,16.54633140563965,37.725345611572266,6.780584812164307
tanh,7,15,49.077425956726074,11.35205364227295,37.725372314453125,6.857507944107056
tanh,7,16,51.51469707489014,13.789351463317871,37.725345611572266,6.655490875244141
tanh,7,17,53.438589096069336,15.713235855102539,37.7253532409668,6.621487140655518
tanh,7,18,14.56740415096283,14.504027366638184,0.063376784324646,6.815284967422485
tanh,7,19,10.864885527756996,10.863718032836914,0.0011674949200823903,6.9101808071136475
