activation,layers,width,mse,train_time_sec
tanh,5,8,0.7611220479011536,4.545874834060669
tanh,5,9,0.6386261582374573,4.522731065750122
tanh,5,10,0.1405647099018097,4.584133863449097
tanh,5,11,0.6729403138160706,4.734472036361694
tanh,5,12,0.5500451922416687,4.890139818191528
tanh,5,13,0.1406209021806717,4.956602096557617
tanh,5,14,0.7479307651519775,5.0088231563568115
tanh,5,15,0.02987738698720932,5.0230207443237305
tanh,5,16,0.5886629223823547,4.655120849609375
tanh,5,17,0.8832640051841736,4.778769254684448
tanh,5,18,0.04489343613386154,4.82981014251709
tanh,5,19,0.01940162666141987,4.811020851135254
tanh,5,20,0.13232074677944183,4.955541133880615
tanh,6,1,0.49591904878616333,4.961058139801025
tanh,6,2,0.49623289704322815,5.294405221939087
tanh,6,3,0.639462411403656,5.317536115646362
tanh,6,4,1.0153510570526123,5.261614799499512
tanh,6,5,0.7453198432922363,5.436980962753296
tanh,6,6,0.5384982824325562,5.479825973510742
tanh,6,7,0.6403284668922424,5.739687919616699
tanh,6,8,0.09443099796772003,5.395164966583252
tanh,6,9,0.42745456099510193,5.509133815765381
tanh,6,10,0.45268714427948,5.5854127407073975
tanh,6,11,0.39526015520095825,5.778471946716309
tanh,6,12,0.3856630027294159,5.722168922424316
tanh,6,13,0.04299241676926613,5.766801834106445
tanh,6,14,0.03958136960864067,5.930203914642334
tanh,6,15,0.1395692527294159,6.127198934555054
tanh,6,16,1.325103759765625,5.774162292480469
tanh,6,17,0.2757644057273865,5.875592947006226
tanh,6,18,0.03753676265478134,5.94927978515625
tanh,6,19,0.4330154359340668,5.891488075256348
tanh,6,20,0.4908173382282257,5.919624090194702
tanh,7,1,0.6207868456840515,5.8158721923828125
tanh,7,2,0.8130389451980591,6.017228126525879
tanh,7,3,0.8304979205131531,5.947875022888184
tanh,7,4,0.247378870844841,5.887664794921875
tanh,7,5,0.7046090960502625,6.0327308177948
tanh,7,6,0.7444067597389221,6.141082048416138
tanh,7,7,0.4278591275215149,6.3032660484313965
tanh,7,8,0.6964618563652039,6.070837736129761
tanh,7,9,0.444082111120224,6.181174993515015
tanh,7,10,0.37233760952949524,6.329318046569824
tanh,7,11,0.39046135544776917,6.509394884109497
tanh,7,12,0.36865755915641785,6.41737699508667
tanh,7,13,0.3281496465206146,6.5470356941223145
tanh,7,14,0.09662080556154251,6.801151990890503
tanh,7,15,0.41734999418258667,6.882367134094238
tanh,7,16,0.04217606037855148,6.542917013168335
tanh,7,17,0.1273631602525711,6.626905202865601
tanh,7,18,0.04702069237828255,6.678994178771973
tanh,7,19,0.058344461023807526,6.671540021896362
tanh,7,20,0.03564591333270073,6.696247100830078
tanh,8,1,0.49936190247535706,6.529661178588867
tanh,8,2,0.5534202456474304,6.5421669483184814
tanh,8,3,1.1935813426971436,6.646604061126709
tanh,8,4,1.0211790800094604,6.512042999267578
tanh,8,5,0.40987899899482727,6.732205867767334
tanh,8,6,0.8357841372489929,6.750504016876221
tanh,8,7,0.4496856927871704,6.937054872512817
tanh,8,8,0.6243633031845093,6.718215703964233
tanh,8,9,0.4508879780769348,6.864269971847534
tanh,8,10,0.0001562620745971799,7.099610805511475
tanh,8,11,0.03770288825035095,7.215599060058594
tanh,8,12,0.3589763641357422,7.047952175140381
tanh,8,13,0.4014447033405304,7.251500129699707
tanh,8,14,0.4202924966812134,7.451838970184326
tanh,8,15,0.2174297273159027,7.882543087005615
tanh,8,16,0.033023759722709656,7.217031955718994
tanh,8,17,0.4883853793144226,7.457206964492798
tanh,8,18,0.027781914919614792,7.488630056381226
tanh,8,19,0.08041532337665558,7.439892053604126
tanh,8,20,0.06491878628730774,7.514161109924316
tanh,9,1,0.49501171708106995,7.0397419929504395
tanh,9,2,1.284452199935913,7.167330026626587
tanh,9,3,0.4953976571559906,7.362001895904541
tanh,9,4,0.7379229068756104,7.159141778945923
tanh,9,5,1.462390422821045,7.390393018722534
tanh,9,6,0.34155845642089844,7.6085429191589355
tanh,9,7,1.1720528602600098,7.693255186080933
tanh,9,8,0.7021520733833313,7.430602073669434
tanh,9,9,0.6185925602912903,7.604353904724121
tanh,9,10,0.48453980684280396,7.802016973495483
tanh,9,11,0.35281267762184143,8.02177882194519
tanh,9,12,0.6014254093170166,7.803974866867065
tanh,9,13,0.38396939635276794,8.048976182937622
tanh,9,14,0.3871103525161743,8.093760013580322
tanh,9,15,0.227943554520607,8.053757190704346
tanh,9,16,0.02975054830312729,7.542604684829712
tanh,9,17,0.4731157720088959,7.680790901184082
tanh,9,18,0.03415399044752121,7.6154890060424805
tanh,9,19,0.7795611619949341,7.686112880706787
tanh,9,20,0.009100565686821938,7.59184193611145
tanh,10,1,0.4965854287147522,7.6852357387542725
tanh,10,2,0.5112189650535583,7.89094877243042
tanh,10,3,0.5306622982025146,7.970063209533691
tanh,10,4,1.3924750089645386,7.872919082641602
tanh,10,5,0.31571444869041443,8.027131795883179
