activation,layers,width,mse,train_time_sec
tanh,4,13,1.4945247528430627e-07,1.9660861492156982
tanh,4,14,5.45582850008941e-08,2.0403521060943604
tanh,4,15,2.7107722289088088e-08,2.0586869716644287
tanh,4,16,1.5099571726295835e-07,2.015929698944092
tanh,4,17,0.00013867061352357268,2.136115074157715
tanh,4,18,1.936562625814986e-07,2.039996862411499
tanh,4,19,2.823303191235027e-07,2.029259204864502
tanh,4,20,1.5706133353887708e-06,2.032118082046509
tanh,5,1,2.241827496618498e-05,2.2083072662353516
tanh,5,2,2.48531733859636e-07,2.223339080810547
tanh,5,3,7.497050091842539e-07,2.2499001026153564
tanh,5,4,1.3285625755088404e-07,2.2385802268981934
tanh,5,5,2.2023050405550748e-07,2.263875961303711
tanh,5,6,1.8793031131281168e-07,2.2844228744506836
tanh,5,7,4.1314916643386823e-07,2.370521068572998
tanh,5,8,1.9045040744458674e-07,2.2745158672332764
tanh,5,9,4.2752594708872493e-07,2.3154709339141846
tanh,5,10,2.4433017387082145e-08,2.4105947017669678
tanh,5,11,4.776585456056637e-07,2.4310662746429443
tanh,5,12,3.774658452471158e-08,2.358909845352173
tanh,5,13,5.4391144033161254e-08,2.4845099449157715
tanh,5,14,8.477449853216967e-08,2.53804087638855
tanh,5,15,4.625612604058915e-08,2.5751209259033203
tanh,5,16,4.644808484499663e-07,2.481013059616089
tanh,5,17,1.696936280382033e-08,2.528872013092041
tanh,5,18,2.2923188680579187e-07,2.503016948699951
tanh,5,19,1.5344375015047262e-06,2.604705810546875
tanh,5,20,6.503719163220012e-08,2.5042309761047363
tanh,6,1,4.859756518271752e-05,2.5066709518432617
tanh,6,2,5.620742058454198e-07,2.572068214416504
tanh,6,3,5.654229653373477e-07,2.5662240982055664
tanh,6,4,9.638510078957552e-08,2.5399768352508545
tanh,6,5,7.474579888366861e-07,2.6264450550079346
tanh,6,6,4.993373892148156e-08,2.6238670349121094
tanh,6,7,1.1168333813316167e-08,2.690453052520752
tanh,6,8,4.0837477399691124e-07,2.630934000015259
tanh,6,9,3.7354519008658826e-05,2.6658871173858643
tanh,6,10,5.6398329206786e-07,2.708218812942505
tanh,6,11,1.9652185656582333e-08,2.8090970516204834
tanh,6,12,4.8745285312179476e-05,2.7069098949432373
tanh,6,13,5.074805287108575e-08,2.7928948402404785
tanh,6,14,6.471496760696027e-08,3.0848779678344727
tanh,6,15,1.4770577649869665e-07,2.9811341762542725
