activation,layers,width,mse,train_time_sec
relu,5,1,48.46101379394531,2.8713178634643555
relu,5,2,48.46101379394531,2.926036834716797
relu,5,3,48.46101379394531,2.9540047645568848
relu,5,4,48.46101379394531,2.899576187133789
relu,5,5,48.46101379394531,2.9177439212799072
relu,5,6,48.46101379394531,2.964937210083008
relu,5,7,48.46101379394531,3.0242269039154053
relu,5,8,48.46101379394531,2.938778877258301
relu,5,9,48.46101379394531,3.0295658111572266
relu,5,10,48.46101379394531,3.048478841781616
relu,5,11,48.46101379394531,3.200103998184204
relu,5,12,48.46101379394531,3.028575897216797
relu,5,13,48.46101379394531,3.1520519256591797
relu,5,14,48.46101379394531,3.174490213394165
relu,5,15,48.46101379394531,3.3188748359680176
relu,5,16,48.46101379394531,3.0926899909973145
relu,5,17,48.46101379394531,3.1657891273498535
relu,5,18,48.46101379394531,3.150946855545044
relu,5,19,48.46101379394531,3.1623451709747314
relu,5,20,48.46101379394531,3.31526517868042
relu,6,1,48.46101379394531,3.320117950439453
relu,6,2,48.46101379394531,3.3126416206359863
relu,6,3,48.46101379394531,3.3854830265045166
relu,6,4,48.46101379394531,3.3323259353637695
relu,6,5,48.46101379394531,3.36891508102417
relu,6,6,48.46101379394531,3.4210681915283203
relu,6,7,48.46101379394531,3.525883197784424
relu,6,8,48.46101379394531,3.367743968963623
relu,6,9,48.46101379394531,3.5255696773529053
relu,6,10,48.46101379394531,3.511341094970703
relu,6,11,48.46101379394531,3.601956844329834
relu,6,12,48.46101379394531,3.5211899280548096
relu,6,13,48.46101379394531,3.6493098735809326
relu,6,14,48.46101379394531,3.6825129985809326
relu,6,15,48.46101379394531,3.8066322803497314
relu,6,16,48.46101379394531,3.5860419273376465
relu,6,17,48.46101379394531,3.617161273956299
relu,6,18,48.46101379394531,3.6184871196746826
relu,6,19,48.46101379394531,3.6125078201293945
relu,6,20,48.46101379394531,3.659571886062622
relu,7,1,48.46101379394531,3.6646640300750732
relu,7,2,48.46101379394531,3.752249002456665
relu,7,3,48.46101379394531,3.806053876876831
relu,7,4,48.46101379394531,3.726188898086548
relu,7,5,48.46101379394531,3.7730629444122314
relu,7,6,48.46101379394531,3.966838836669922
